Velocity;Left;Left45;Front;Right45;Right;Rotation
34.3208;2.2087;6.3499;27.2588;4.4131;4.6593;8
36.5178;2.3711;6.3476;27.0588;4.5011;4.4926;8
33.2497;2.5335;6.3454;26.8588;4.6345;4.3284;8
41.417;2.6959;6.3431;26.6588;4.7826;4.1641;8
34.6551;2.8582;6.3408;26.4588;5.0593;3.9999;8
35.959;3.0206;6.3385;26.2588;5.3361;3.8356;8
27.3322;3.1532;6.3043;26.0588;5.5904;3.6956;8
31.2047;3.2729;6.239;25.8588;5.8444;3.5747;8
21.1287;3.3927;6.1737;25.6588;6.0416;3.4537;3
33.3017;3.4284;5.9865;25.0712;6.3808;3.3135;3
36.5348;3.4598;5.8049;24.496;6.7697;3.2513;3
41.4113;3.487;5.6281;23.9201;6.9652;3.2013;3
27.6516;3.5104;5.4557;23.3424;7.1509;3.2578;3
33.3732;3.5302;5.2871;22.7723;7.3637;3.3248;3
30.1231;3.5465;5.1218;22.1906;7.4889;3.4827;3
29.0017;3.5596;4.9594;21.5833;7.5986;3.6796;3
35.9654;3.6244;4.8568;21.3833;7.5459;3.8146;8
30.0999;3.6893;4.7541;21.1833;7.4931;3.9781;8
28.3962;3.7312;4.6515;20.9833;7.4404;4.1416;8
27.5564;3.7458;4.5488;20.7833;7.3876;4.3051;8
33.2306;3.7604;4.4462;20.5833;7.3349;4.4643;8
31.7324;3.7749;4.3435;20.3833;7.2615;4.6221;8
31.4075;3.7895;4.2409;20.1833;7.185;4.7799;8
33.2915;3.8041;4.1383;19.9833;7.1084;4.9377;8
29.5518;3.8186;4.0134;19.7833;7.0318;5.0734;8
30.4803;3.8332;3.8873;19.5833;6.9552;5.1463;8
31.8291;3.8267;3.7612;19.3833;6.8787;5.2192;8
32.7656;3.779;3.6352;19.1833;6.8021;5.2922;8
32.4841;3.7312;3.5091;18.9833;6.7255;5.3651;8
30.9911;3.6835;3.383;18.7833;6.649;5.4381;8
22.5335;3.6358;3.2569;18.5833;6.5724;5.511;8
27.2625;3.5881;3.1298;18.3833;6.4925;5.5263;8
38.0992;3.5404;3.0014;18.1833;6.4106;5.5303;8
39.1852;3.4538;2.873;17.9833;6.3286;5.5343;8
31.9624;3.3398;2.7446;17.7833;6.2466;5.5383;8
31.4678;3.2259;2.6162;17.5833;6.1647;5.5423;8
31.7674;3.112;2.4878;17.3833;6.0827;5.5463;8
31.391;2.9981;2.3765;17.1833;6.0007;5.5503;8
28.0446;2.8684;2.3009;16.9833;5.9188;5.5503;8
32.3214;2.7076;2.2254;16.7833;5.8368;5.5045;8
31.9203;2.5467;2.1498;16.5833;5.7587;5.4586;8
39.4348;2.3858;2.0773;16.3833;5.6844;5.4127;8
27.3799;2.2241;2.075;16.1833;5.61;5.3669;8
34.3061;2.0578;2.0727;15.9833;5.5356;5.321;8
33.4507;1.8915;2.0705;15.7833;5.4612;5.2752;8
32.1938;1.7252;2.1174;15.5833;5.3869;5.2293;8
31.5623;1.6369;2.2074;15.3833;5.3125;5.1835;8
39.6414;1.564;2.2974;15.1833;5.2381;5.1105;8
26.8323;1.4911;2.4065;14.9833;5.1824;5.0362;8
29.7968;1.4678;2.5777;14.7833;5.1281;4.962;8
35.9523;1.4662;2.749;14.5833;5.0737;4.8877;8
30.7183;1.4645;2.9203;14.3833;5.0194;4.8135;8
27.3361;1.4737;3.1086;14.1833;4.9651;4.7392;8
26.9474;1.522;3.3029;13.9833;4.9108;4.665;8
33.9287;1.5703;3.4972;13.7833;4.8823;4.5872;8
34.0282;1.6186;3.6915;13.5833;4.861;4.5056;8
23.0715;1.6669;3.8562;13.3833;4.8397;4.424;8
35.7806;1.7387;4.0104;13.1833;4.8184;4.3424;8
29.2146;1.8141;4.1646;12.9833;4.7972;4.2608;8
32.039;1.8896;4.3188;12.7833;4.8107;4.1792;8
35.3441;1.965;4.473;12.5833;4.8321;4.0978;8
29.4462;2.0404;4.5651;12.3833;4.8536;4.0264;8
30.5014;2.1174;4.6527;12.1833;4.875;3.955;7
25.9183;2.2489;5.0422;12.2271;4.6948;3.9115;7
34.6958;2.3928;5.4366;12.2543;4.5223;3.8647;7
29.6845;2.5502;5.7742;12.2835;4.3564;3.8143;7
34.4576;2.722;6.1629;12.3288;4.1962;3.76;7
30.3645;2.9001;6.459;12.3552;4.0408;3.7017;7
33.1608;3.0849;6.7842;12.4;3.8895;3.6389;7
32.0863;3.2863;7.0702;12.4501;3.7418;3.5712;7
30.9549;3.5059;7.3403;12.4997;3.5971;3.4982;7
33.9047;3.7398;7.5892;12.5691;3.4548;3.4273;7
22.3715;3.9498;7.7771;12.635;3.3147;3.3569;7
32.0223;4.1788;7.9858;12.7147;3.1761;3.281;7
32.3285;4.4286;8.1884;12.8109;3.0389;3.1989;7
34.3307;4.683;8.3757;12.9008;2.9058;3.1102;7
41.7343;4.9025;8.4726;13.0137;2.7773;3.014;7
25.7958;5.0215;8.4096;12.8137;2.7228;2.8505;8
34.1501;5.1405;8.3467;12.6137;2.6682;2.7111;8
31.7756;5.2595;8.2838;12.4137;2.6137;2.5931;8
38.7061;5.3785;8.22;12.2137;2.5592;2.475;8
29.8758;5.4589;8.1249;12.0137;2.5149;2.357;8
30.0392;5.5392;8.0297;11.8137;2.5094;2.2602;8
34.7308;5.6195;7.9346;11.6137;2.5038;2.1799;8
36.2611;5.6998;7.8394;11.4137;2.4982;2.0996;8
